Name,Rating,Advantage,Disadvantage,Reviews,Salary,Interview,Jobs,Industry,Employees,Ownership,Age,Location,Work Place
Ashok Leyland,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",,4.1k,18.2k,195,--,Automobile , 5k-10k Employees , Public , 76 years old , Chennai +219 more,
Omega Healthcare,3.8,"Promotions / Appraisal, Salary & Benefits",,4.3k,21.5k,328,--,Healthcare , 10k-50k Employees , 21 years old , Florida +51 more,,
Siemens,4.2,"Job Security, Company Culture, Work Life Balance",,4.2k,30.3k,339,2k,Industrial Automation , 5k-10k Employees , Public , 177 years old , Munich +132 more,
JLL,4.2,"Skill Development / Learning, Job Security, Company Culture",,4.2k,20.6k,266,20,Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Mumbai +71 more,
Megha Engineering & Infrastructures,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,4.3k,15.3k,369,--,Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old , Hyderabad/Secunderabad +305 more,
Vivo,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,4k,13.3k,166,--,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old , Gurgaon/Gurugram +379 more,
First Source,3.8,"Promotions / Appraisal, Salary & Benefits",,4.1k,20.6k,239,--,BPO , 10k-50k Employees , Public , 23 years old , Mumbai +55 more,
JustDial,3.6,"Promotions / Appraisal, Work Satisfaction, Job Security",,4.1k,15.3k,282,--,Internet , 10k-50k Employees , Public , 28 years old , Mumbai +183 more,
Bajaj Allianz Life Insurance,4.1,"Salary & Benefits, Work Life Balance, Company Culture",,4.1k,15.6k,276,62,Insurance , 10k-50k Employees , 23 years old , Pune +507 more,,
Hero MotoCorp,4.2,"Work Life Balance, Company Culture, Job Security",,4k,14.3k,288,--,Automobile , 5k-10k Employees , Public , 40 years old , Gurgaon/Gurugram +319 more,
OPPO,4.0,Skill Development / Learning,Promotions / Appraisal,3.8k,13.1k,183,18,Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old , Dongguan +359 more,
Mahindra Finance,4.3,"Job Security, Company Culture, Work Life Balance",,3.9k,10.9k,119,38,NBFC , 10k-50k Employees , Public , 33 years old , Mumbai +635 more,
DMart,4.0,"Job Security, Company Culture",Promotions / Appraisal,4k,14.4k,334,77,Retail , 10k-50k Employees , Fortune India 500 , 22 years old , Mumbai +213 more,
Standard Chartered,3.9,Job Security,Promotions / Appraisal,4k,39.8k,219,--,Banking , 10k-50k Employees , Fortune India 500 , 171 years old , London +58 more,
Coforge,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,4k,37.9k,394,158,IT Services & Consulting , 10k-50k Employees , Public , 20 years old , Noida +87 more,
Cyient,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",3.9k,26k,244,--,IT Services & Consulting , 10k-50k Employees , Public , 33 years old , Hyderabad/Secunderabad +35 more,
BigBasket,4.0,Job Security,Promotions / Appraisal,4k,15.8k,310,--,Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +116 more,
ICICI Lombard General Insurance Company,3.8,"Promotions / Appraisal, Work Satisfaction",,3.9k,18.3k,221,--,Insurance , 10k-50k Employees , Public , 23 years old , Mumbai +265 more,
Indiamart Intermesh,3.6,"Promotions / Appraisal, Work Satisfaction, Company Culture",,4k,18.8k,464,279,Internet , 5k-10k Employees , Public , 28 years old , Noida +145 more,
CGI Group,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.9k,42.7k,379,143,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 48 years old , Montreal +32 more,
Virtusa Consulting Services,3.8,Promotions / Appraisal,,4k,52.3k,443,--,IT Services & Consulting , 10k-50k Employees , 28 years old , Southborough +40 more,,
Equitas Small Finance Bank,4.3,"Job Security, Company Culture, Work Life Balance",,3.8k,11.2k,154,558,Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Chennai +370 more,
TVS Motor,4.1,"Skill Development / Learning, Salary & Benefits, Job Security",,3.7k,13.9k,257,--,Automobile , 5k-10k Employees , Public , 45 years old , Chennai +278 more,
Manappuram Finance,4.0,"Skill Development / Learning, Promotions / Appraisal",,3.7k,7.7k,119,--,NBFC , 10k-50k Employees , Public , 75 years old , Thrissur/Trichur +519 more,
Ekart Logistics,4.1,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,4.2k,11.5k,266,--,Logistics , 1k-5k Employees , 15 years old , San Francisco +612 more,,
GlobalLogic,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",3.8k,32.7k,437,--,IT Services & Consulting , 10k-50k Employees , 24 years old , San Jose +35 more,,
UST,3.8,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",3.7k,35.2k,384,--,IT Services & Consulting , 10k-50k Employees , 23 years old , Aliso Viejo +36 more,,
SBI Cards & Payment Services,3.7,"Promotions / Appraisal, Work Satisfaction, Company Culture",,3.6k,14.9k,205,169,Financial Services , 1k-5k Employees , 26 years old , Gurgaon/Gurugram +355 more,,
Hewlett Packard Enterprise,4.3,"Company Culture, Work Life Balance, Job Security",,3.5k,30.6k,177,--,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 9 years old , Houston +90 more,
Atos Syntel,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,3.6k,34.6k,248,--,IT Services & Consulting , 5k-10k Employees , 44 years old , Troy +26 more,,
Bosch Global Software Technologies,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.7k,35.5k,263,21,Software Product , 10k-50k Employees , 27 years old , Gerlingen +31 more,,
